iter	RMSE
0	0.8310120539
1	0.8181435907
2	0.8057183332
3	0.7937609149
4	0.7822294543
5	0.7711210392
6	0.7603231005
7	0.7499361272
8	0.7399997635
9	0.7303737261
10	0.7210735215
11	0.7121306778
12	0.7035756679
13	0.6952805182
14	0.6872980172
15	0.6796006778
16	0.6722168933
17	0.6651652546
18	0.6582797078
19	0.6517393225
20	0.6453501203
21	0.6392834098
22	0.633460482
23	0.6278864868
24	0.6224119332
25	0.6172398853
26	0.612276308
27	0.6074306499
28	0.6028393428
29	0.5983735731
30	0.5941283876
31	0.5900363267
32	0.5861314311
33	0.5824171355
34	0.5788187645
35	0.5753863117
36	0.5721155062
37	0.5689656578
38	0.5659251145
39	0.5630416676
40	0.5602684832
41	0.5575809881
42	0.5550313909
43	0.5526086077
44	0.5502754384
45	0.5480144894
46	0.5458580385
47	0.5438260645
48	0.5418375045
49	0.5399288258
50	0.5380848718
51	0.5363223409
52	0.5346601085
53	0.5330418119
54	0.5315065008
55	0.5300422655
56	0.5286094202
57	0.5272277564
58	0.5259334825
59	0.5246934689
60	0.5234628496
61	0.5223164878
62	0.5211636503
63	0.5200752134
64	0.5190550821
65	0.5181008297
66	0.5171282097
67	0.5162421449
68	0.5153854448
69	0.5145454168
70	0.5137250439
71	0.512942854
72	0.5122130064
73	0.5114703567
74	0.5107781539
75	0.510127171
76	0.5095006497
77	0.5088902102
78	0.5082744931
79	0.5077210681
80	0.5071771651
81	0.5066270007
82	0.5060943471
83	0.5055864832
84	0.5051215883
85	0.5046703661
86	0.5042194385
87	0.5038031872
88	0.5033902093
89	0.5029767183
90	0.5025608152
91	0.5021945522
92	0.5018054541
93	0.5014448703
94	0.5010839269
95	0.5007344525
96	0.5004293574
97	0.5001027184
98	0.4997823712
99	0.4994640729
100	0.4991798504
101	0.4989004975
102	0.4986487508
103	0.4983917336
104	0.4981200356
105	0.497886006
106	0.4976396877
107	0.4974017045
108	0.4971742424
109	0.496948849
110	0.496748734
111	0.4965453683
112	0.4963303262
113	0.4961426082
114	0.4959023302
115	0.4957101337
116	0.4955480194
117	0.4953819936
118	0.4951954672
119	0.4950017378
120	0.4948625731
121	0.4946902918
122	0.4945360739
123	0.4943774537
124	0.494234375
125	0.4940643728
126	0.4938854982
127	0.4937527718
128	0.4935522215
129	0.4934148689
130	0.4932708392
131	0.4931597436
132	0.4930547194
133	0.4929493038
134	0.492786027
135	0.4926769675
136	0.492576921
137	0.4924371613
138	0.4922979065
139	0.4921579561
140	0.4920639023
141	0.4919492779
142	0.4917515026
143	0.4915912238
144	0.4914936076
145	0.4913270888
146	0.4911348788
147	0.4910191817
148	0.4909018894
149	0.4908098289
150	0.4906278145
151	0.4905469978
152	0.4904415634
153	0.4902994272
154	0.490214941
155	0.4901464272
156	0.4900647346
157	0.4899904761
158	0.4898982402
159	0.4898108971
160	0.4897332134
161	0.48964687
162	0.4895410647
163	0.489451186
164	0.4893532058
165	0.489275542
166	0.4892115311
167	0.4891254949
168	0.4890375814
169	0.4889503591
170	0.4888483807
171	0.4887857898
172	0.4887150999
173	0.4886422021
174	0.4885554287
175	0.4884765077
176	0.4883417674
177	0.4882816273
178	0.4882127451
179	0.4881398706
180	0.4880437279
181	0.4879848553
182	0.4878851596
183	0.4878208809
184	0.4877533383
185	0.4876952668
186	0.4876389141
187	0.487565055
188	0.4875058812
189	0.4874365643
190	0.4873315073
191	0.487270677
192	0.4871776477
193	0.48711263
194	0.4870592838
195	0.4869785041
196	0.4869085834
197	0.486840795
198	0.4867597709
199	0.4867216966
200	0.4866467626
201	0.486586491
202	0.4865289189
203	0.4864601127
204	0.4864065992
205	0.4863666624
206	0.4863127749
207	0.4862658147
208	0.4862168881
209	0.4861581742
210	0.4861054085
211	0.4860371462
212	0.4859783642
213	0.4859317579
214	0.4858820702
215	0.4858361311
216	0.485777456
217	0.4857379183
218	0.4856879651
219	0.4856253686
220	0.485573595
221	0.4855024804
222	0.4854478019
223	0.4854054691
224	0.4853525268
225	0.4853063555
226	0.4852555024
227	0.4851687857
228	0.4851181992
229	0.4850817647
230	0.4850195457
231	0.4849791933
232	0.484906147
233	0.4848416289
234	0.4847814187
235	0.4847469468
236	0.4847134429
237	0.484678343
238	0.4846365757
239	0.4845814584
240	0.4845173041
241	0.4844620586
242	0.4844055582
243	0.4843485434
244	0.4843094132
245	0.4842579944
246	0.4841939556
247	0.4841532673
248	0.4841124995
249	0.4840513003
250	0.4840061246
251	0.4839424076
252	0.4839041169
253	0.4838464538
254	0.483812719
255	0.4837789766
256	0.4837198586
257	0.4836647783
258	0.4836153438
259	0.4835703966
260	0.4835218407
261	0.4834763414
262	0.4834246902
263	0.4833908356
264	0.4833546891
265	0.4833163126
266	0.4832681931
267	0.4832113036
268	0.4831703258
269	0.4830812774
270	0.4830434305
271	0.4830123183
272	0.4829839464
273	0.4829543913
274	0.4829119916
275	0.4828881726
276	0.4828232073
277	0.4827867653
278	0.4827630096
279	0.4827208863
280	0.4826736877
281	0.4826405277
282	0.4826077971
283	0.4825635024
284	0.4825153427
285	0.482470229
286	0.4824315107
287	0.482374396
288	0.4823119137
289	0.4822803642
290	0.4822463477
291	0.4821883766
292	0.482166883
293	0.4821438115
294	0.4820937292
295	0.4820325814
296	0.4819795747
297	0.4819395407
298	0.4818943323
299	0.4818567958
300	0.4818293639
301	0.4817915352
302	0.4817648995
303	0.4816935079
304	0.4816561926
305	0.4816129264
306	0.4815821978
307	0.4815395882
308	0.4814681399
309	0.4814267141
310	0.4813886855
311	0.4813496851
312	0.4812860422
313	0.4812441538
314	0.4812182032
315	0.4811621433
316	0.4811396626
317	0.4811100086
318	0.4810596634
319	0.4810232754
320	0.4809978112
321	0.4809539994
322	0.480907125
323	0.4808627355
324	0.4808088062
325	0.4807639273
326	0.4807407001
327	0.4806923448
328	0.4806435103
329	0.4805935176
330	0.4805690142
331	0.4805242507
332	0.4804901961
333	0.4804535491
334	0.4804182069
335	0.4803845265
336	0.4803421541
337	0.4802902967
338	0.4802466826
339	0.4802028191
340	0.480140255
341	0.4800980174
342	0.4800686168
343	0.4800374321
344	0.4799883467
345	0.4799540074
346	0.4799228219
347	0.4799016078
348	0.4798621688
349	0.4798321991
350	0.4797892524
351	0.4797450793
352	0.4797061495
353	0.479677293
354	0.4796437679
355	0.4796124029
356	0.4795830104
357	0.4795358712
358	0.4795140575
359	0.4794826856
360	0.479454968
361	0.4794219155
362	0.4793984605
363	0.4793571398
364	0.479314603
365	0.4792840824
366	0.4792502866
367	0.4792232239
368	0.4791921851
369	0.4791614234
370	0.4791351969
371	0.4790683575
372	0.4790024934
373	0.478965012
374	0.478924998
375	0.4789025858
376	0.4788641905
377	0.4788406039
378	0.4788035855
379	0.4787773359
380	0.4787591739
381	0.4787348031
382	0.4786964779
383	0.4786602837
384	0.4786354147
385	0.4786066291
386	0.4785577746
387	0.4785337631
388	0.4784911419
389	0.4784419443
390	0.4784181595
391	0.4783881662
392	0.4783573309
393	0.4783239387
394	0.4782935802
395	0.4782724808
396	0.4782293721
397	0.4782014951
398	0.4781657581
399	0.4781227894
400	0.4780924161
401	0.4780579881
402	0.478030399
403	0.4780001273
404	0.477962982
405	0.4779322972
406	0.4779073325
407	0.4778631606
408	0.477838887
409	0.4778128102
410	0.4777876111
411	0.4777654237
412	0.4777378947
413	0.4777113034
414	0.477682106
415	0.4776487327
416	0.4775832628
417	0.4775488969
418	0.477527536
419	0.4775013546
420	0.4774589635
421	0.4774220567
422	0.4773908118
423	0.4773674318
424	0.4773383923
425	0.4773000631
426	0.4772717126
427	0.4772403904
428	0.4771940642
429	0.4771512062
430	0.4771181125
431	0.4770924347
432	0.4770591769
433	0.477029857
434	0.4769762013
435	0.476923562
436	0.4769000695
437	0.4768626343
438	0.4768152008
439	0.4767622411
440	0.4767371573
441	0.4767083563
